with, W IH1 DH , s, 
melody, M EH1 L AH0 D IY0 , s, 
sing, S IH1 NG , s, 
in, IH N, s, 
our, OW : R, s, 
sweet, S W IY1 T , s, 
lullaby, L AH1 L AH0 B AY2 , s, 
lulla, ˈ L ɤ L ǝ, s, 
lulla, ˈ L ɤ L ǝ, s, 
lullaby, L AH1 L AH0 B AY2 , s, 
lulla, ˈ L ɤ L ǝ, s, 
lulla, ˈ L ɤ L ǝ, s, 
lullaby, L AH1 L AH0 B AY2 , s, 
never, ˈ N e V ǝ R, s, 
harm, AA : R M, s, 
nor, N AO1 R , s, 
spell, S P EH1 L , s, 
nor, N AO1 R , s, 
charm, T SH AA : R M, s, 
come, K ɤ M, s, 
our, OW : R, s, 
lovely, ˈ L ɤ V L ǝ IH, s, 
lady, L EY1 D IY0 , s, 
nigh, N ǝ IH, s, 
so, S OW :, s, 
good, G UH1 D , s, 
night, N AY1 T , s, 
with, W IH1 DH , s, 
lullaby, L AH1 L AH0 B AY2 , s, 
with, W IH1 DH , s, 
melody, M EH1 L AH0 D IY0 , s, 
sing, S IH1 NG , s, 
in, IH N, s, 
our, OW : R, s, 
sweet, S W IY1 T , s, 
lullaby, L AH1 L AH0 B AY2 , s, 
lulla, ˈ L ɤ L ǝ, s, 
lulla, ˈ L ɤ L ǝ, s, 
lullaby, L AH1 L AH0 B AY2 , s, 
lulla, ˈ L ɤ L ǝ, s, 
lulla, ˈ L ɤ L ǝ, s, 
lullaby, L AH1 L AH0 B AY2 , s, 
never, ˈ N e V ǝ R, s, 
harm, AA : R M, s, 
nor, N AO1 R , s, 
spell, S P EH1 L , s, 
nor, N AO1 R , s, 
charm, T SH AA : R M, s, 
come, K ɤ M, s, 
our, OW : R, s, 
lovely, ˈ L ɤ V L ǝ IH, s, 
lady, L EY1 D IY0 , s, 
nigh, N ǝ IH, s, 
so, S OW :, s, 
good, G UH1 D , s, 
night, N AY1 T , s, 
with, W IH1 DH , s, 
lullaby, L AH1 L AH0 B AY2 , s, 
hence, HH EH1 N S , s, 
away, ǝ ˈ W EH: :, s, 
now, N AW1 , s, 
all, AA : L, s, 
is, IH1 Z , s, 
well, W EH1 L , s, 
one, W AH1 N , s, 
aloof, AH0 L UW1 F , s, 
stand, S T AE1 N D , s, 
sentinel, S EH1 N T AH0 N AH0 L , s, 
with, W IH1 DH , s, 
melody, M EH1 L AH0 D IY0 , s, 
sing, S IH1 NG , s, 
in, IH N, s, 
our, OW : R, s, 
sweet, S W IY1 T , s, 
lullaby, L AH1 L AH0 B AY2 , s, 
lulla, ˈ L ɤ L ǝ, s, 
lulla, ˈ L ɤ L ǝ, s, 
