l,e,t;L,EH,T;s; 
u,s;AH,S;s; 
m,ee,t;M,IY,T;s; 
h,i,m;HH,IH,M;s; 
th,e,n;DH,EH,N;s; 
o,r;AO,R;s; 
wh,e,n;ʍ,e,N;s; 
h,e;HH,IY;s; 
th,i,s;DH,IH,S;s; 
t,o;T,UW;s; 
a;AH;s; 
i,t;IH,T;s; 
t,oo;T,UW;s; 
f,o,r;F,AO,R;s; 
a;AH;s; 
ou,r;OW,R;s; 
s,ou,l,s;S,OW,L,Z;s; 
r,e,l,i,g,iou,s,l,y;R,IH,L,IH,JH,AH,S,L,IY;s; 
ou,t;AW,T;s; 
d,u,n,g,h,i,ll;D,ɤ,NG,-,ˌ,IH,L;s; 
th,ou;DH,AW;s; 
a;AH;s; 
n,o,b,l,e,m,a,n;N,OW,B,AH,L,M,AH,N;s; 
wh,a,t;W,AH,T;s; 
w,i,l,t;W,IH,L,T;s; 
th,ou;DH,AW;s; 
d,o;D,OW;s; 
s,e,c,o,n,d;S,EH,K,AH,N,D;s; 
a;AH;s; 
v,i,ll,ai,n;V,IH,L,AH,N;s; 
a,n,d;AH,N,D;s; 
a;AH;s; 
wh,o;HH,UW;s; 
th,i,s;DH,IH,S;s; 
t,o;T,UW;s; 
th,e;DH,AH;s; 
