play,character,phoneme,sex,role,genre
AWW,Helen,TH,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,NG,f,protag,comedy
AWW,Helen,K,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,UW,f,protag,comedy
AWW,Helen,W,f,protag,comedy
AWW,Helen,EH,f,protag,comedy
AWW,Helen,D,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,HH,f,protag,comedy
AWW,Helen,IY,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,Z,f,protag,comedy
AWW,Helen,S,f,protag,comedy
AWW,Helen,OW,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,B,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,V,f,protag,comedy
AWW,Helen,M,f,protag,comedy
AWW,Helen,IY,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,N,f,protag,comedy
AWW,Helen,HH,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,Z,f,protag,comedy
AWW,Helen,B,f,protag,comedy
AWW,Helen,R,f,protag,comedy
AWW,Helen,AY,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,R,f,protag,comedy
AWW,Helen,EY,f,protag,comedy
AWW,Helen,D,f,protag,comedy
AWW,Helen,IY,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,N,f,protag,comedy
AWW,Helen,S,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,N,f,protag,comedy
AWW,Helen,D,f,protag,comedy
AWW,Helen,K,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,L,f,protag,comedy
AWW,Helen,AE,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,ER,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,L,f,protag,comedy
AWW,Helen,L,f,protag,comedy
AWW,Helen,AY,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,M,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,S,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,AY,f,protag,comedy
AWW,Helen,B,f,protag,comedy
AWW,Helen,IY,f,protag,comedy
AWW,Helen,K,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,M,f,protag,comedy
AWW,Helen,F,f,protag,comedy
AWW,Helen,ER,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,D,f,protag,comedy
AWW,Helen,N,f,protag,comedy
AWW,Helen,AA,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,N,f,protag,comedy
AWW,Helen,HH,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,Z,f,protag,comedy
AWW,Helen,S,f,protag,comedy
AWW,Helen,F,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,R,f,protag,comedy
AWW,Helen,AE,f,protag,comedy
AWW,Helen,M,f,protag,comedy
AWW,Helen,B,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,SH,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,N,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,N,f,protag,comedy
AWW,Helen,M,f,protag,comedy
AWW,Helen,AY,f,protag,comedy
AWW,Helen,L,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,V,f,protag,comedy
AWW,Helen,DH,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,S,f,protag,comedy
AWW,Helen,P,f,protag,comedy
AWW,Helen,L,f,protag,comedy
AWW,Helen,EY,f,protag,comedy
AWW,Helen,G,f,protag,comedy
AWW,Helen,Z,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,S,f,protag,comedy
AWW,Helen,EH,f,protag,comedy
AWW,Helen,L,f,protag,comedy
AWW,Helen,F,f,protag,comedy
AWW,Helen,DH,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,HH,f,protag,comedy
AWW,Helen,AY,f,protag,comedy
AWW,Helen,N,f,protag,comedy
AWW,Helen,D,f,protag,comedy
AWW,Helen,DH,f,protag,comedy
AWW,Helen,AE,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,W,f,protag,comedy
AWW,Helen,UH,f,protag,comedy
AWW,Helen,D,f,protag,comedy
AWW,Helen,B,f,protag,comedy
AWW,Helen,IY,f,protag,comedy
AWW,Helen,M,f,protag,comedy
AWW,Helen,EY,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,D,f,protag,comedy
AWW,Helen,B,f,protag,comedy
AWW,Helen,AY,f,protag,comedy
AWW,Helen,DH,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,L,f,protag,comedy
AWW,Helen,AY,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,N,f,protag,comedy
AWW,Helen,M,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,S,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,D,f,protag,comedy
AWW,Helen,AY,f,protag,comedy
AWW,Helen,F,f,protag,comedy
AWW,Helen,AO,f,protag,comedy
AWW,Helen,R,f,protag,comedy
AWW,Helen,L,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,V,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,W,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,Z,f,protag,comedy
AWW,Helen,P,f,protag,comedy
AWW,Helen,R,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,IY,f,protag,comedy
AWW,Helen,DH,f,protag,comedy
AWW,Helen,OW,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,P,f,protag,comedy
AWW,Helen,L,f,protag,comedy
AWW,Helen,EY,f,protag,comedy
AWW,Helen,G,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,UW,f,protag,comedy
AWW,Helen,S,f,protag,comedy
AWW,Helen,IY,f,protag,comedy
AWW,Helen,HH,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,M,f,protag,comedy
AWW,Helen,EH,f,protag,comedy
AWW,Helen,V,f,protag,comedy
AWW,Helen,ER,f,protag,comedy
AWW,Helen,IY,f,protag,comedy
AWW,Helen,AW,f,protag,comedy
AWW,Helen,ER,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,UW,f,protag,comedy
AWW,Helen,S,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,N,f,protag,comedy
AWW,Helen,D,f,protag,comedy
AWW,Helen,D,f,protag,comedy
AWW,Helen,R,f,protag,comedy
AWW,Helen,AO,f,protag,comedy
AWW,Helen,HH,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,Z,f,protag,comedy
AWW,Helen,B,f,protag,comedy
AWW,Helen,R,f,protag,comedy
AWW,Helen,AW,f,protag,comedy
AWW,Helen,Z,f,protag,comedy
AWW,Helen,HH,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,Z,f,protag,comedy
AWW,Helen,HH,f,protag,comedy
AWW,Helen,AO,f,protag,comedy
AWW,Helen,K,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,NG,f,protag,comedy
AWW,Helen,AY,f,protag,comedy
AWW,Helen,HH,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,Z,f,protag,comedy
AWW,Helen,K,f,protag,comedy
AWW,Helen,ER,f,protag,comedy
AWW,Helen,L,f,protag,comedy
AWW,Helen,Z,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,N,f,protag,comedy
AWW,Helen,AW,f,protag,comedy
AWW,Helen,ER,f,protag,comedy
AWW,Helen,HH,f,protag,comedy
AWW,Helen,AA,f,protag,comedy
AWW,Helen,R,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,S,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,UW,f,protag,comedy
AWW,Helen,K,f,protag,comedy
AWW,Helen,EY,f,protag,comedy
AWW,Helen,P,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,B,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,L,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,V,f,protag,comedy
AWW,Helen,EH,f,protag,comedy
AWW,Helen,V,f,protag,comedy
AWW,Helen,ER,f,protag,comedy
AWW,Helen,IY,f,protag,comedy
AWW,Helen,L,f,protag,comedy
AWW,Helen,AY,f,protag,comedy
AWW,Helen,N,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,N,f,protag,comedy
AWW,Helen,D,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,R,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,K,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,V,f,protag,comedy
AWW,Helen,HH,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,Z,f,protag,comedy
AWW,Helen,S,f,protag,comedy
AWW,Helen,W,f,protag,comedy
AWW,Helen,IY,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,F,f,protag,comedy
AWW,Helen,EY,f,protag,comedy
AWW,Helen,V,f,protag,comedy
AWW,Helen,ER,f,protag,comedy
AWW,Helen,B,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,N,f,protag,comedy
AWW,Helen,AW,f,protag,comedy
AWW,Helen,HH,f,protag,comedy
AWW,Helen,IY,f,protag,comedy
AWW,Helen,Z,f,protag,comedy
AWW,Helen,G,f,protag,comedy
AWW,Helen,AO,f,protag,comedy
AWW,Helen,N,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,N,f,protag,comedy
AWW,Helen,D,f,protag,comedy
AWW,Helen,M,f,protag,comedy
AWW,Helen,AY,f,protag,comedy
AWW,Helen,AY,f,protag,comedy
AWW,Helen,D,f,protag,comedy
AWW,Helen,AA,f,protag,comedy
AWW,Helen,L,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,R,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,S,f,protag,comedy
AWW,Helen,F,f,protag,comedy
AWW,Helen,AE,f,protag,comedy
AWW,Helen,N,f,protag,comedy
AWW,Helen,S,f,protag,comedy
AWW,Helen,IY,f,protag,comedy
AWW,Helen,M,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,S,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,S,f,protag,comedy
AWW,Helen,AE,f,protag,comedy
AWW,Helen,NG,f,protag,comedy
AWW,Helen,K,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,F,f,protag,comedy
AWW,Helen,AY,f,protag,comedy
AWW,Helen,HH,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,Z,f,protag,comedy
AWW,Helen,R,f,protag,comedy
AWW,Helen,EH,f,protag,comedy
AWW,Helen,L,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,K,f,protag,comedy
AWW,Helen,S,f,protag,comedy
AWW,Helen,HH,f,protag,comedy
AWW,Helen,UW,f,protag,comedy
AWW,Helen,K,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,M,f,protag,comedy
AWW,Helen,Z,f,protag,comedy
AWW,Helen,HH,f,protag,comedy
AWW,Helen,IY,f,protag,comedy
AWW,Helen,R,f,protag,comedy
AWW,Helen,W,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,N,f,protag,comedy
AWW,Helen,DH,f,protag,comedy
AWW,Helen,AE,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,G,f,protag,comedy
AWW,Helen,OW,f,protag,comedy
AWW,Helen,Z,f,protag,comedy
AWW,Helen,W,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,DH,f,protag,comedy
AWW,Helen,HH,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,M,f,protag,comedy
AWW,Helen,AY,f,protag,comedy
AWW,Helen,L,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,V,f,protag,comedy
AWW,Helen,HH,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,M,f,protag,comedy
AWW,Helen,F,f,protag,comedy
AWW,Helen,AO,f,protag,comedy
AWW,Helen,R,f,protag,comedy
AWW,Helen,HH,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,Z,f,protag,comedy
AWW,Helen,S,f,protag,comedy
AWW,Helen,EY,f,protag,comedy
AWW,Helen,K,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,N,f,protag,comedy
AWW,Helen,D,f,protag,comedy
AWW,Helen,Y,f,protag,comedy
AWW,Helen,EH,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,AY,f,protag,comedy
AWW,Helen,N,f,protag,comedy
AWW,Helen,OW,f,protag,comedy
AWW,Helen,HH,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,M,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,N,f,protag,comedy
AWW,Helen,OW,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,AO,f,protag,comedy
AWW,Helen,R,f,protag,comedy
AWW,Helen,IY,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,S,f,protag,comedy
AWW,Helen,L,f,protag,comedy
AWW,Helen,AY,f,protag,comedy
AWW,Helen,ER,f,protag,comedy
AWW,Helen,TH,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,NG,f,protag,comedy
AWW,Helen,K,f,protag,comedy
AWW,Helen,HH,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,M,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,G,f,protag,comedy
AWW,Helen,R,f,protag,comedy
AWW,Helen,EY,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,W,f,protag,comedy
AWW,Helen,EY,f,protag,comedy
AWW,Helen,F,f,protag,comedy
AWW,Helen,UW,f,protag,comedy
AWW,Helen,L,f,protag,comedy
AWW,Helen,S,f,protag,comedy
AWW,Helen,OW,f,protag,comedy
AWW,Helen,L,f,protag,comedy
AWW,Helen,L,f,protag,comedy
AWW,Helen,IY,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,K,f,protag,comedy
AWW,Helen,AW,f,protag,comedy
AWW,Helen,ER,f,protag,comedy
AWW,Helen,D,f,protag,comedy
AWW,Helen,Y,f,protag,comedy
AWW,Helen,EH,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,DH,f,protag,comedy
AWW,Helen,IY,f,protag,comedy
AWW,Helen,Z,f,protag,comedy
AWW,Helen,F,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,K,f,protag,comedy
AWW,Helen,S,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,IY,f,protag,comedy
AWW,Helen,V,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,L,f,protag,comedy
AWW,Helen,Z,f,protag,comedy
AWW,Helen,S,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,S,f,protag,comedy
AWW,Helen,OW,f,protag,comedy
AWW,Helen,F,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,N,f,protag,comedy
AWW,Helen,HH,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,M,f,protag,comedy
AWW,Helen,DH,f,protag,comedy
AWW,Helen,AE,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,DH,f,protag,comedy
AWW,Helen,EY,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,EY,f,protag,comedy
AWW,Helen,K,f,protag,comedy
AWW,Helen,P,f,protag,comedy
AWW,Helen,L,f,protag,comedy
AWW,Helen,EY,f,protag,comedy
AWW,Helen,S,f,protag,comedy
AWW,Helen,W,f,protag,comedy
AWW,Helen,EH,f,protag,comedy
AWW,Helen,N,f,protag,comedy
AWW,Helen,S,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,IY,f,protag,comedy
AWW,Helen,L,f,protag,comedy
AWW,Helen,IY,f,protag,comedy
AWW,Helen,B,f,protag,comedy
AWW,Helen,OW,f,protag,comedy
AWW,Helen,N,f,protag,comedy
AWW,Helen,Z,f,protag,comedy
AWW,Helen,L,f,protag,comedy
AWW,Helen,UH,f,protag,comedy
AWW,Helen,K,f,protag,comedy
AWW,Helen,S,f,protag,comedy
AWW,Helen,B,f,protag,comedy
AWW,Helen,L,f,protag,comedy
AWW,Helen,IY,f,protag,comedy
AWW,Helen,K,f,protag,comedy
AWW,Helen,K,f,protag,comedy
AWW,Helen,OW,f,protag,comedy
AWW,Helen,L,f,protag,comedy
AWW,Helen,D,f,protag,comedy
AWW,Helen,W,f,protag,comedy
AWW,Helen,AY,f,protag,comedy
AWW,Helen,N,f,protag,comedy
AWW,Helen,D,f,protag,comedy
AWW,Helen,F,f,protag,comedy
AWW,Helen,UH,f,protag,comedy
AWW,Helen,L,f,protag,comedy
AWW,Helen,AO,f,protag,comedy
AWW,Helen,F,f,protag,comedy
AWW,Helen,T,f,protag,comedy
AWW,Helen,W,f,protag,comedy
AWW,Helen,IY,f,protag,comedy
AWW,Helen,S,f,protag,comedy
AWW,Helen,IY,f,protag,comedy
AWW,Helen,K,f,protag,comedy
AWW,Helen,OW,f,protag,comedy
AWW,Helen,L,f,protag,comedy
AWW,Helen,D,f,protag,comedy
AWW,Helen,W,f,protag,comedy
AWW,Helen,IH,f,protag,comedy
AWW,Helen,Z,f,protag,comedy
AWW,Helen,D,f,protag,comedy
AWW,Helen,AH,f,protag,comedy
AWW,Helen,M,f,protag,comedy
AWW,Helen,W,f,protag,comedy
